Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
PLAID_eq,0.899441341,0.897579143,0.893854749,0.916201117,0.888268156,0.880819367,0.927374302,0.884543762,0.903165736,0.910614525,0.91433892,0.905027933,0.91433892,0.888268156,0.893854749,0.893854749,0.901303538,0.895716946,0.880819367,0.888268156,0.936685289,0.890130354,0.90689013,0.90689013,0.929236499,0.90689013,0.908752328,0.908752328,0.916201117,0.918063315,0.903538175,26.06079823,11.87272185
PhalangesOutlinesCorrect,0.833333333,0.84965035,0.86013986,0.858974359,0.850815851,0.854312354,0.856643357,0.847319347,0.836829837,0.869463869,0.850815851,0.850815851,0.875291375,0.856643357,0.861305361,0.865967366,0.854312354,0.847319347,0.86013986,0.854312354,0.86013986,0.82983683,0.842657343,0.858974359,0.844988345,0.867132867,0.846153846,0.857808858,0.843822844,0.846153846,0.853069153,32.64678069,1.069661395
PhoneHeartbeatSound,0.686813187,0.67032967,0.642857143,0.675824176,0.664835165,0.631868132,0.659340659,0.686813187,0.642857143,0.653846154,0.664835165,0.664835165,0.67032967,0.631868132,0.659340659,0.631868132,0.637362637,0.648351648,0.659340659,0.653846154,0.659340659,0.67032967,0.675824176,0.637362637,0.67032967,0.593406593,0.692307692,0.626373626,0.686813187,0.659340659,0.656959707,40.86452494,10.09599778
Phoneme,0.40664557,0.414029536,0.399261603,0.396097046,0.384493671,0.412447257,0.389240506,0.394514768,0.393459916,0.418776371,0.396097046,0.399261603,0.406118143,0.417194093,0.407700422,0.392405063,0.421940928,0.399261603,0.420886076,0.399261603,0.403481013,0.394514768,0.38185654,0.384493671,0.437236287,0.408227848,0.416666667,0.419303797,0.403481013,0.428270042,0.404887482,11.27481669,48.05537651
PickupGestureWiimoteZ_eq,0.84,0.82,0.8,0.88,0.84,0.88,0.78,0.78,0.86,0.84,0.84,0.78,0.86,0.86,0.82,0.84,0.86,0.78,0.88,0.86,0.76,0.78,0.84,0.84,0.86,0.78,0.88,0.88,0.9,0.82,0.834666667,2.01568946,0.339606349
PigAirwayPressure,0.557692308,0.567307692,0.567307692,0.591346154,0.552884615,0.548076923,0.658653846,0.629807692,0.610576923,0.610576923,0.576923077,0.519230769,0.639423077,0.644230769,0.581730769,0.600961538,0.519230769,0.596153846,0.6875,0.600961538,0.605769231,0.610576923,0.524038462,0.625,0.548076923,0.586538462,0.615384615,0.524038462,0.528846154,0.572115385,0.586698718,7.311969248,7.581999969
PigArtPressure,0.951923077,0.927884615,0.918269231,0.923076923,0.908653846,0.947115385,0.951923077,0.947115385,0.947115385,0.942307692,0.932692308,0.894230769,0.947115385,0.942307692,0.9375,0.913461538,0.927884615,0.951923077,0.923076923,0.932692308,0.913461538,0.918269231,0.956730769,0.947115385,0.923076923,0.9375,0.961538462,0.899038462,0.956730769,0.918269231,0.933333333,7.617583982,7.874691407
PigCVP,0.836538462,0.769230769,0.769230769,0.740384615,0.711538462,0.802884615,0.788461538,0.711538462,0.788461538,0.778846154,0.778846154,0.778846154,0.802884615,0.764423077,0.783653846,0.807692308,0.793269231,0.788461538,0.774038462,0.788461538,0.75,0.8125,0.75,0.822115385,0.745192308,0.769230769,0.740384615,0.778846154,0.788461538,0.774038462,0.776282051,7.068824855,7.099495037
Plane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.720390956,0.275859483
PowerCons,1,0.983333333,0.988888889,0.988888889,0.994444444,0.994444444,0.988888889,1,1,0.983333333,0.966666667,0.983333333,0.994444444,0.994444444,1,1,1,0.983333333,0.994444444,1,1,1,0.994444444,0.988888889,1,1,0.988888889,0.988888889,0.988888889,0.983333333,0.992407407,2.179587142,0.490867782
ProximalPhalanxOutlineAgeGroup,0.853658537,0.858536585,0.804878049,0.848780488,0.853658537,0.848780488,0.873170732,0.814634146,0.829268293,0.824390244,0.873170732,0.873170732,0.873170732,0.83902439,0.882926829,0.834146341,0.873170732,0.819512195,0.863414634,0.873170732,0.873170732,0.858536585,0.863414634,0.829268293,0.863414634,0.853658537,0.809756098,0.863414634,0.834146341,0.87804878,0.851382114,3.804812225,0.257387964
ProximalPhalanxOutlineCorrect,0.907216495,0.886597938,0.900343643,0.903780069,0.89347079,0.917525773,0.859106529,0.914089347,0.917525773,0.920962199,0.903780069,0.920962199,0.89347079,0.900343643,0.900343643,0.903780069,0.883161512,0.907216495,0.900343643,0.890034364,0.900343643,0.907216495,0.886597938,0.879725086,0.920962199,0.886597938,0.903780069,0.907216495,0.900343643,0.89347079,0.900343643,7.053836664,0.413393545
ProximalPhalanxTW,0.829268293,0.843902439,0.804878049,0.829268293,0.809756098,0.829268293,0.809756098,0.829268293,0.809756098,0.843902439,0.834146341,0.804878049,0.819512195,0.819512195,0.843902439,0.809756098,0.795121951,0.814634146,0.829268293,0.83902439,0.829268293,0.809756098,0.824390244,0.8,0.795121951,0.8,0.814634146,0.809756098,0.8,0.824390244,0.818536585,3.866540893,0.255103445
RefrigerationDevices,0.669333333,0.808,0.8,0.776,0.757333333,0.808,0.816,0.794666667,0.757333333,0.797333333,0.802666667,0.786666667,0.770666667,0.805333333,0.776,0.813333333,0.784,0.8,0.762666667,0.757333333,0.784,0.786666667,0.786666667,0.792,0.778666667,0.8,0.792,0.805333333,0.797333333,0.813333333,0.785955556,14.00330908,4.710472067
Rock,0.8,0.9,0.88,0.94,0.9,0.92,0.92,0.94,0.84,0.9,0.78,0.84,0.9,0.86,0.84,0.86,0.78,0.88,0.9,0.88,0.82,0.94,0.88,0.92,0.92,0.96,0.94,0.94,0.86,0.9,0.884666667,2.192597485,2.097791672
ScreenType,0.546666667,0.717333333,0.690666667,0.709333333,0.674666667,0.674666667,0.712,0.674666667,0.674666667,0.72,0.669333333,0.701333333,0.709333333,0.672,0.656,0.685333333,0.677333333,0.666666667,0.68,0.701333333,0.698666667,0.634666667,0.712,0.621333333,0.677333333,0.714666667,0.656,0.669333333,0.68,0.666666667,0.678133333,14.10536491,3.769288238
SemgHandGenderCh2,0.963333333,0.963333333,0.963333333,0.953333333,0.955,0.968333333,0.963333333,0.966666667,0.963333333,0.966666667,0.965,0.956666667,0.975,0.961666667,0.965,0.968333333,0.963333333,0.963333333,0.965,0.963333333,0.963333333,0.961666667,0.961666667,0.956666667,0.958333333,0.968333333,0.955,0.951666667,0.958333333,0.968333333,0.962555556,14.75766716,15.93108826
SemgHandMovementCh2,0.833333333,0.891111111,0.884444444,0.888888889,0.871111111,0.862222222,0.902222222,0.884444444,0.857777778,0.86,0.844444444,0.884444444,0.873333333,0.848888889,0.826666667,0.888888889,0.862222222,0.862222222,0.855555556,0.844444444,0.846666667,0.851111111,0.855555556,0.871111111,0.877777778,0.871111111,0.837777778,0.871111111,0.877777778,0.891111111,0.865925926,21.75930243,10.03901904
SemgHandSubjectCh2,0.922222222,0.948888889,0.955555556,0.955555556,0.924444444,0.953333333,0.946666667,0.96,0.968888889,0.962222222,0.964444444,0.968888889,0.951111111,0.924444444,0.953333333,0.955555556,0.931111111,0.924444444,0.94,0.964444444,0.96,0.931111111,0.973333333,0.937777778,0.96,0.953333333,0.964444444,0.942222222,0.937777778,0.933333333,0.948962963,23.6621179,12.18013076
ShakeGestureWiimoteZ_eq,0.94,0.84,0.98,0.9,0.86,0.92,0.88,0.96,0.86,0.86,0.92,0.84,0.92,0.96,0.94,0.84,0.86,0.84,0.86,0.86,0.9,0.94,0.82,0.9,0.94,0.96,0.88,0.9,0.92,0.86,0.895333333,2.039877582,0.357035859
ShapeletSim,1,1,1,1,1,1,0.994444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999814815,1.127098656,1.381084967
ShapesAll,0.9,0.921666667,0.936666667,0.94,0.931666667,0.936666667,0.901666667,0.936666667,0.951666667,0.925,0.928333333,0.915,0.936666667,0.923333333,0.925,0.93,0.925,0.923333333,0.941666667,0.928333333,0.945,0.936666667,0.925,0.936666667,0.926666667,0.943333333,0.926666667,0.943333333,0.921666667,0.931666667,0.929833333,34.66417219,5.581407634
SharePriceIncrease,0.689440994,0.69047619,0.6873706,0.685300207,0.686335404,0.685300207,0.6873706,0.68426501,0.68426501,0.688405797,0.686335404,0.686335404,0.68426501,0.685300207,0.6873706,0.688405797,0.682194617,0.697722567,0.695652174,0.67805383,0.688405797,0.695652174,0.689440994,0.69047619,0.68426501,0.689440994,0.686335404,0.6873706,0.692546584,0.685300207,0.687646653,14.31725713,0.955019156
SmallKitchenAppliances,0.837333333,0.832,0.856,0.84,0.853333333,0.866666667,0.842666667,0.842666667,0.818666667,0.856,0.866666667,0.869333333,0.858666667,0.869333333,0.848,0.850666667,0.829333333,0.837333333,0.848,0.8,0.845333333,0.864,0.872,0.861333333,0.877333333,0.829333333,0.848,0.858666667,0.845333333,0.853333333,0.849244444,9.585088571,2.990947803
SmoothSubspace,0.966666667,0.96,0.973333333,0.96,0.98,0.98,0.96,0.96,0.986666667,0.953333333,0.98,0.986666667,0.966666667,0.986666667,0.98,0.986666667,0.993333333,0.966666667,0.973333333,0.966666667,0.986666667,0.993333333,0.96,0.96,0.98,0.98,0.98,0.986666667,0.973333333,0.98,0.974888889,0.338608066,0.042155155
SonyAIBORobotSurface1,0.921797005,0.891846922,0.908485857,0.752079867,0.945091514,0.921797005,0.948419301,0.940099834,0.945091514,0.946755408,0.911813644,0.961730449,0.838602329,0.925124792,0.955074875,0.965058236,0.976705491,0.958402662,0.940099834,0.896838602,0.93344426,0.973377704,0.940099834,0.953410982,0.898502496,0.970049917,0.926788686,0.975041597,0.953410982,0.93344426,0.930282862,0.566185776,0.551532722
SonyAIBORobotSurface2,0.951731375,0.948583421,0.95383001,0.95383001,0.95383001,0.963273872,0.952780693,0.95383001,0.948583421,0.952780693,0.950682057,0.954879328,0.958027282,0.970619098,0.944386149,0.951731375,0.951731375,0.956977964,0.915005247,0.945435467,0.844700944,0.956977964,0.929695698,0.950682057,0.9590766,0.941238195,0.949632739,0.942287513,0.944386149,0.952780693,0.94679958,0.589208182,0.792676552
StarLightCurves,0.98215153,0.979601748,0.981787275,0.981665857,0.98081593,0.979601748,0.981908694,0.983001457,0.982030112,0.982515784,0.982030112,0.981544439,0.983122875,0.982030112,0.981787275,0.98081593,0.981301603,0.981665857,0.981180185,0.980694512,0.981787275,0.981544439,0.982394366,0.982394366,0.982880039,0.981908694,0.98215153,0.980937348,0.981908694,0.982394366,0.981718472,29.9278221,133.8019631
Strawberry,0.972972973,0.972972973,0.981081081,0.981081081,0.967567568,0.972972973,0.983783784,0.954054054,0.983783784,0.978378378,0.981081081,0.964864865,0.975675676,0.981081081,0.967567568,0.991891892,0.972972973,0.981081081,0.981081081,0.986486486,0.975675676,0.975675676,0.986486486,0.989189189,0.978378378,0.964864865,0.97027027,0.97027027,0.975675676,0.981081081,0.976666667,9.90266041,1.501469127
SwedishLeaf,0.9664,0.9616,0.976,0.9696,0.968,0.968,0.968,0.9712,0.9712,0.9712,0.96,0.976,0.9744,0.9744,0.9728,0.9792,0.976,0.9664,0.9776,0.9712,0.9728,0.9728,0.9728,0.976,0.9744,0.976,0.9776,0.9664,0.9712,0.976,0.97184,6.933109117,1.038070027
Symbols,0.968844221,0.974874372,0.943718593,0.947738693,0.969849246,0.96281407,0.953768844,0.96080402,0.972864322,0.945728643,0.969849246,0.959798995,0.957788945,0.949748744,0.95678392,0.943718593,0.968844221,0.967839196,0.977889447,0.952763819,0.95879397,0.981909548,0.972864322,0.945728643,0.959798995,0.968844221,0.969849246,0.964824121,0.975879397,0.982914573,0.962914573,1.168615929,6.197090546
SyntheticControl,0.996666667,0.993333333,0.996666667,0.996666667,0.996666667,0.996666667,0.996666667,0.993333333,0.993333333,0.996666667,0.996666667,1,0.993333333,0.996666667,0.996666667,0.996666667,0.996666667,0.99,1,0.996666667,1,0.996666667,0.996666667,1,0.996666667,0.996666667,0.996666667,1,0.993333333,0.99,0.996222222,2.998523442,0.435002637
ToeSegmentation1,0.929824561,0.899122807,0.877192982,0.837719298,0.951754386,0.912280702,0.877192982,0.907894737,0.903508772,0.881578947,0.912280702,0.894736842,0.903508772,0.894736842,0.899122807,0.864035088,0.934210526,0.929824561,0.885964912,0.885964912,0.877192982,0.868421053,0.899122807,0.934210526,0.912280702,0.903508772,0.916666667,0.929824561,0.885964912,0.903508772,0.900438596,1.27779266,0.957354315
ToeSegmentation2,0.9,0.9,0.915384615,0.876923077,0.907692308,0.830769231,0.930769231,0.853846154,0.869230769,0.892307692,0.892307692,0.853846154,0.853846154,0.938461538,0.853846154,0.907692308,0.884615385,0.915384615,0.892307692,0.961538462,0.953846154,0.9,0.9,0.853846154,0.9,0.876923077,0.923076923,0.930769231,0.930769231,0.807692308,0.893589744,1.504669245,0.824776983
Tools,0.880597015,0.917910448,0.888059701,0.902985075,0.910447761,0.888059701,0.880597015,0.902985075,0.873134328,0.910447761,0.925373134,0.895522388,0.917910448,0.917910448,0.888059701,0.865671642,0.902985075,0.858208955,0.917910448,0.910447761,0.858208955,0.888059701,0.940298507,0.917910448,0.910447761,0.873134328,0.880597015,0.880597015,0.902985075,0.873134328,0.8960199,36.62630003,8.949097562
Trace,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.238767656,0.541893387
TwoLeadECG,0.997366111,0.998244074,0.993854258,0.958735733,0.991220369,0.997366111,0.992976295,0.992976295,0.976294996,0.998244074,0.996488147,0.975417032,0.999122037,0.994732221,0.998244074,0.995610184,0.994732221,0.997366111,0.997366111,0.964881475,0.996488147,0.996488147,0.996488147,0.991220369,0.976294996,0.983318701,0.997366111,0.992098332,0.982440737,0.982440737,0.990196078,0.719624313,1.36282413
TwoPatterns,1,1,0.99975,0.9995,0.99975,0.99925,1,0.99975,1,1,0.99975,1,1,1,0.999,1,1,1,0.99975,1,1,0.99975,0.99975,0.99975,0.99975,1,1,0.99975,1,1,0.999841667,11.42615107,7.064066935
UMD,0.993055556,0.902777778,0.993055556,0.979166667,0.993055556,0.979166667,0.993055556,0.993055556,0.944444444,0.993055556,0.993055556,0.972222222,0.944444444,0.993055556,0.965277778,1,0.993055556,0.986111111,1,0.993055556,0.993055556,0.979166667,0.993055556,1,1,1,0.972222222,0.993055556,0.986111111,0.972222222,0.983101852,1.026685532,0.344224866
UWaveGestureLibraryAll,0.977945282,0.976828587,0.980457845,0.974036851,0.979620324,0.975153546,0.979061977,0.972082635,0.978224456,0.979061977,0.977107761,0.979899497,0.977666108,0.980737018,0.975432719,0.974036851,0.978503629,0.977386935,0.977666108,0.980737018,0.977107761,0.977386935,0.985203797,0.974874372,0.978224456,0.97934115,0.981016192,0.975432719,0.976549414,0.979061977,0.97786153,36.29581117,64.30140115
UWaveGestureLibraryX,0.864042434,0.860413177,0.866834171,0.859575656,0.866834171,0.87828029,0.85678392,0.862088219,0.85985483,0.876884422,0.871859296,0.857342267,0.864600782,0.862088219,0.858179788,0.85678392,0.864879955,0.864879955,0.866554997,0.869905081,0.864321608,0.861529872,0.867113345,0.855108878,0.868509213,0.869346734,0.872975991,0.864600782,0.862646566,0.862646566,0.86458217,25.84540195,19.0045424
UWaveGestureLibraryY,0.790898939,0.786711334,0.777777778,0.77945282,0.794528197,0.804857621,0.790061418,0.791178113,0.80094919,0.802065885,0.796482412,0.797319933,0.799274149,0.788944724,0.80318258,0.797599107,0.797319933,0.797040759,0.799274149,0.792573981,0.796761586,0.790061418,0.794249023,0.785315466,0.79787828,0.784757119,0.796203238,0.798994975,0.799274149,0.79787828,0.794295552,26.86749702,18.62945739
UWaveGestureLibraryZ,0.789223897,0.78559464,0.81239531,0.786990508,0.810720268,0.796761586,0.8093244,0.811278615,0.795086544,0.795924065,0.80625349,0.798994975,0.798715801,0.782802903,0.798157454,0.805136795,0.798715801,0.804020101,0.807370184,0.789223897,0.8093244,0.80094919,0.787548855,0.798436628,0.798715801,0.792853155,0.795365717,0.798436628,0.806532663,0.799832496,0.799022892,22.07937504,16.05897341
Wafer,0.999188838,0.999188838,0.999188838,0.999837768,0.997728748,1,0.999513303,0.998539909,0.999188838,0.998864374,1,1,0.99789098,0.999837768,0.998702141,0.997242051,0.999513303,0.998539909,0.999351071,0.999188838,0.999675535,0.99789098,0.999026606,0.999837768,0.999513303,0.999837768,0.999837768,0.998864374,0.999675535,1,0.999188838,9.086457054,15.76478177
Wine,0.851851852,0.925925926,0.944444444,0.888888889,0.851851852,0.925925926,0.907407407,0.981481481,0.888888889,0.944444444,1,0.87037037,0.814814815,0.981481481,1,0.962962963,0.981481481,0.944444444,0.888888889,0.888888889,0.962962963,0.888888889,0.925925926,0.925925926,1,0.944444444,1,0.851851852,0.888888889,0.944444444,0.925925926,1.751375326,0.297679623
WordSynonyms,0.689655172,0.694357367,0.681818182,0.673981191,0.705329154,0.694357367,0.675548589,0.659874608,0.706896552,0.680250784,0.666144201,0.695924765,0.714733542,0.673981191,0.678683386,0.677115987,0.678683386,0.691222571,0.70846395,0.694357367,0.678683386,0.705329154,0.667711599,0.697492163,0.688087774,0.695924765,0.675548589,0.721003135,0.721003135,0.684952978,0.6892372,4.030585384,2.4942559
Worms,0.766233766,0.74025974,0.74025974,0.818181818,0.779220779,0.779220779,0.818181818,0.87012987,0.779220779,0.766233766,0.831168831,0.792207792,0.779220779,0.753246753,0.818181818,0.753246753,0.792207792,0.844155844,0.818181818,0.779220779,0.805194805,0.753246753,0.688311688,0.805194805,0.74025974,0.818181818,0.714285714,0.675324675,0.818181818,0.805194805,0.781385281,6.300374166,1.048302968
WormsTwoClass,0.818181818,0.883116883,0.831168831,0.779220779,0.844155844,0.792207792,0.766233766,0.857142857,0.766233766,0.792207792,0.818181818,0.779220779,0.766233766,0.805194805,0.857142857,0.792207792,0.87012987,0.779220779,0.857142857,0.805194805,0.831168831,0.779220779,0.844155844,0.818181818,0.844155844,0.844155844,0.844155844,0.779220779,0.896103896,0.779220779,0.817316017,6.928304712,1.273552386
Yoga,0.903666667,0.899,0.913,0.909666667,0.903666667,0.919666667,0.923666667,0.909666667,0.916,0.915666667,0.906333333,0.892666667,0.894,0.903,0.885333333,0.891,0.911333333,0.911666667,0.920333333,0.914,0.898,0.905,0.907666667,0.893666667,0.92,0.903,0.914666667,0.924666667,0.914333333,0.910333333,0.907822222,7.984894474,21.12211425